TIME wclk4 wclk0 wclk1 wclk2 wclk3 wctl2 wctl2 
 8.26746E-12  4.49402E-01 -5.12729E-03  6.99896E-01 -6.24911E-05  6.96224E-01  7.00000E-01  7.00000E-01 
 8.31874E-12  4.47931E-01 -5.14757E-03  6.99896E-01 -6.23496E-05  6.96212E-01  7.00000E-01  7.00000E-01 
 8.42117E-12  4.44994E-01 -5.18809E-03  6.99896E-01 -6.20670E-05  6.96186E-01  7.00000E-01  7.00000E-01 
 8.48499E-12  4.43168E-01 -5.21320E-03  6.99896E-01 -6.18829E-05  6.96170E-01  7.00000E-01  7.00000E-01 
 8.57008E-12  4.40734E-01 -5.24668E-03  6.99896E-01 -6.16374E-05  6.96150E-01  7.00000E-01  7.00000E-01 
 8.64524E-12  4.38590E-01 -5.27610E-03  6.99896E-01 -6.14118E-05  6.96132E-01  7.00000E-01  7.00000E-01 
 8.71499E-12  4.36601E-01 -5.30339E-03  6.99896E-01 -6.12026E-05  6.96115E-01  7.00000E-01  7.00000E-01 
 8.80049E-12  4.34169E-01 -5.33670E-03  6.99896E-01 -6.09371E-05  6.96095E-01  7.00000E-01  7.00000E-01 
 8.85655E-12  4.32575E-01 -5.35853E-03  6.99896E-01 -6.07629E-05  6.96082E-01  7.00000E-01  7.00000E-01 
 8.95155E-12  4.29880E-01 -5.39538E-03  6.99896E-01 -6.04587E-05  6.96060E-01  7.00000E-01  7.00000E-01 
 8.99532E-12  4.28639E-01 -5.41235E-03  6.99896E-01 -6.03185E-05  6.96050E-01  7.00000E-01  7.00000E-01 
 9.09914E-12  4.25704E-01 -5.45244E-03  6.99897E-01 -5.99767E-05  6.96026E-01  7.00000E-01  7.00000E-01 
 9.13180E-12  4.24781E-01 -5.46505E-03  6.99897E-01 -5.98692E-05  6.96019E-01  7.00000E-01  7.00000E-01 
 9.24384E-12  4.21623E-01 -5.50815E-03  6.99897E-01 -5.94910E-05  6.95994E-01  7.00000E-01  7.00000E-01 
 9.26639E-12  4.20988E-01 -5.51683E-03  6.99897E-01 -5.94149E-05  6.95989E-01  7.00000E-01  7.00000E-01 
 9.38615E-12  4.17623E-01 -5.56274E-03  6.99897E-01 -5.90015E-05  6.95963E-01  7.00000E-01  7.00000E-01 
 9.39946E-12  4.17250E-01 -5.56784E-03  6.99897E-01 -5.89556E-05  6.95960E-01  7.00000E-01  7.00000E-01 
 9.52653E-12  4.13692E-01 -5.61640E-03  6.99897E-01 -5.85079E-05  6.95933E-01  7.00000E-01  7.00000E-01 
 9.53134E-12  4.13558E-01 -5.61823E-03  6.99897E-01 -5.84910E-05  6.95932E-01  7.00000E-01  7.00000E-01 
 9.66230E-12  4.09904E-01 -5.66813E-03  6.99897E-01 -5.80209E-05  6.95905E-01  7.00000E-01  7.00000E-01 
 9.66537E-12  4.09819E-01 -5.66930E-03  6.99897E-01 -5.80097E-05  6.95904E-01  7.00000E-01  7.00000E-01 
 9.79261E-12  4.06282E-01 -5.71766E-03  6.99897E-01 -5.75452E-05  6.95878E-01  7.00000E-01  7.00000E-01 
 9.80299E-12  4.05995E-01 -5.72160E-03  6.99897E-01 -5.75067E-05  6.95876E-01  7.00000E-01  7.00000E-01 
 9.92252E-12  4.02685E-01 -5.76693E-03  6.99897E-01 -5.70636E-05  6.95852E-01  7.00000E-01  7.00000E-01 
 9.93971E-12  4.02210E-01 -5.77344E-03  6.99897E-01 -5.69989E-05  6.95849E-01  7.00000E-01  7.00000E-01 
 1.00522E-11  3.99106E-01 -5.81605E-03  6.99897E-01 -5.65757E-05  6.95827E-01  7.00000E-01  7.00000E-01 
 1.00758E-11  3.98459E-01 -5.82496E-03  6.99897E-01 -5.64860E-05  6.95822E-01  7.00000E-01  7.00000E-01 
 1.01820E-11  3.95542E-01 -5.86511E-03  6.99897E-01 -5.60814E-05  6.95801E-01  7.00000E-01  7.00000E-01 
 1.02115E-11  3.94734E-01 -5.87627E-03  6.99897E-01 -5.59675E-05  6.95796E-01  7.00000E-01  7.00000E-01 
 1.03120E-11  3.91986E-01 -5.91423E-03  6.99897E-01 -5.55802E-05  6.95777E-01  7.00000E-01  7.00000E-01 
 1.03471E-11  3.91029E-01 -5.92750E-03  6.99897E-01 -5.54432E-05  6.95770E-01  7.00000E-01  7.00000E-01 
 1.04424E-11  3.88434E-01 -5.96350E-03  6.99897E-01 -5.50717E-05  6.95753E-01  7.00000E-01  7.00000E-01 
 1.04828E-11  3.87339E-01 -5.97876E-03  6.99897E-01 -5.49126E-05  6.95745E-01  7.00000E-01  7.00000E-01 
 1.05735E-11  3.84880E-01 -6.01303E-03  6.99897E-01 -5.45554E-05  6.95729E-01  7.00000E-01  7.00000E-01 
 1.06188E-11  3.83657E-01 -6.03016E-03  6.99897E-01 -5.43752E-05  6.95721E-01  7.00000E-01  7.00000E-01 
 1.07055E-11  3.81319E-01 -6.06293E-03  6.99897E-01 -5.40307E-05  6.95705E-01  7.00000E-01  7.00000E-01 
 1.07554E-11  3.79979E-01 -6.08183E-03  6.99897E-01 -5.38306E-05  6.95696E-01  7.00000E-01  7.00000E-01 
 1.08386E-11  3.77746E-01 -6.11332E-03  6.99898E-01 -5.34971E-05  6.95682E-01  7.00000E-01  7.00000E-01 
 1.08927E-11  3.76297E-01 -6.13387E-03  6.99898E-01 -5.32785E-05  6.95672E-01  7.00000E-01  7.00000E-01 
 1.09193E-11  3.75587E-01 -6.14394E-03  6.99898E-01 -5.31714E-05  6.95668E-01  7.00000E-01  7.00000E-01 
 1.10000E-11  3.73436E-01 -6.17460E-03  6.99898E-01 -5.28441E-05  6.95654E-01  7.00000E-01  7.00000E-01 
 1.10195E-11  3.72917E-01 -6.18201E-03  6.99898E-01 -5.27648E-05  6.95651E-01  7.00000E-01  7.00000E-01 
 1.10217E-11  3.72858E-01 -6.18286E-03  6.99898E-01 -5.27556E-05  6.95651E-01  7.00000E-01  7.00000E-01 
 1.10585E-11  3.71881E-01 -6.19685E-03  6.99898E-01 -5.26059E-05  6.95644E-01  7.00000E-01  7.00000E-01 
 1.10652E-11  3.71703E-01 -6.19941E-03  6.99898E-01 -5.25784E-05  6.95643E-01  7.00000E-01  7.00000E-01 
 1.11058E-11  3.70627E-01 -6.21488E-03  6.99898E-01 -5.24127E-05  6.95637E-01  7.00000E-01  7.00000E-01 
 1.11217E-11  3.70206E-01 -6.22095E-03  6.99898E-01 -5.23476E-05  6.95634E-01  7.00000E-01  7.00000E-01 
 1.11605E-11  3.69180E-01 -6.23574E-03  6.99898E-01 -5.21890E-05  6.95628E-01  7.00000E-01  7.00000E-01 
 1.11832E-11  3.68580E-01 -6.24443E-03  6.99898E-01 -5.20956E-05  6.95624E-01  7.00000E-01  7.00000E-01 
 1.12459E-11  3.66926E-01 -6.26839E-03  6.99898E-01 -5.18383E-05  6.95614E-01  7.00000E-01  7.00000E-01 
 1.12775E-11  3.66094E-01 -6.28054E-03  6.99898E-01 -5.17076E-05  6.95608E-01  7.00000E-01  7.00000E-01 
 1.13652E-11  3.63791E-01 -6.31417E-03  6.99898E-01 -5.13460E-05  6.95594E-01  7.00000E-01  7.00000E-01 
 1.13888E-11  3.63176E-01 -6.32326E-03  6.99898E-01 -5.12482E-05  6.95591E-01  7.00000E-01  7.00000E-01 
 1.15000E-11  3.60270E-01 -6.36615E-03  6.99898E-01 -5.07867E-05  6.95573E-01  7.00000E-01  7.00000E-01 
 1.16478E-11  3.56433E-01 -6.42353E-03  6.99898E-01 -5.01700E-05  6.95551E-01  7.00000E-01  7.00000E-01 
 1.16487E-11  3.56410E-01 -6.42387E-03  6.99898E-01 -5.01663E-05  6.95550E-01  7.00000E-01  7.00000E-01 
 1.18003E-11  3.52501E-01 -6.48323E-03  6.99898E-01 -4.95297E-05  6.95528E-01  7.00000E-01  7.00000E-01 
 1.18015E-11  3.52472E-01 -6.48369E-03  6.99898E-01 -4.95248E-05  6.95528E-01  7.00000E-01  7.00000E-01 
 1.19002E-11  3.49943E-01 -6.52264E-03  6.99898E-01 -4.91084E-05  6.95513E-01  7.00000E-01  7.00000E-01 
 1.19007E-11  3.49928E-01 -6.52287E-03  6.99898E-01 -4.91060E-05  6.95513E-01  7.00000E-01  7.00000E-01 
 1.20000E-11  3.47396E-01 -6.56233E-03  6.99898E-01 -4.86856E-05  6.95499E-01  7.00000E-01  7.00000E-01 
