time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
1.00978384447E-6,985.887751271E-3,1.00000000000,100.000000000E-3
1.01012910123E-6,984.490498806E-3,1.00000000000,100.000000000E-3
1.01047781182E-6,982.002520330E-3,1.00000000000,100.000000000E-3
1.01083401821E-6,978.435914621E-3,1.00000000000,100.000000000E-3
1.01120238774E-6,973.791506730E-3,1.00000000000,100.000000000E-3
1.01158886320E-6,968.058269716E-3,1.00000000000,100.000000000E-3
1.01200282267E-6,961.192752527E-3,1.00000000000,100.000000000E-3
1.01246236594E-6,953.055417500E-3,1.00000000000,100.000000000E-3
1.01301509078E-6,943.150029355E-3,1.00000000000,100.000000000E-3
1.01380640733E-6,930.164195591E-3,1.00000000000,100.000000000E-3
1.01438720877E-6,922.310014881E-3,1.00000000000,100.000000000E-3
1.01484425433E-6,917.523290847E-3,1.00000000000,100.000000000E-3
1.01526127660E-6,914.446151752E-3,1.00000000000,100.000000000E-3
1.01564415615E-6,912.810549150E-3,1.00000000000,100.000000000E-3
1.01601233988E-6,912.352811808E-3,1.00000000000,100.000000000E-3
1.01637807215E-6,912.975591386E-3,1.00000000000,100.000000000E-3
1.01675276523E-6,914.680620367E-3,1.00000000000,100.000000000E-3
1.01714164915E-6,917.499944757E-3,1.00000000000,100.000000000E-3
1.01754981490E-6,921.462212906E-3,1.00000000000,100.000000000E-3
1.01798442059E-6,926.593516010E-3,1.00000000000,100.000000000E-3
1.01845744464E-6,932.932192256E-3,1.00000000000,100.000000000E-3
1.01899431688E-6,940.597992547E-3,1.00000000000,100.000000000E-3
1.01967658543E-6,950.164711206E-3,1.00000000000,100.000000000E-3
1.02025362402E-6,957.427541820E-3,1.00000000000,100.000000000E-3
1.02086171002E-6,963.593708703E-3,1.00000000000,100.000000000E-3
1.02136617723E-6,967.197223077E-3,1.00000000000,100.000000000E-3
1.02180559464E-6,969.038475857E-3,1.00000000000,100.000000000E-3
1.02221509010E-6,969.585138986E-3,1.00000000000,100.000000000E-3
1.02260321017E-6,969.044485951E-3,1.00000000000,100.000000000E-3
1.02298850359E-6,967.516218474E-3,1.00000000000,100.000000000E-3
1.02337907275E-6,965.027082770E-3,1.00000000000,100.000000000E-3
1.02378069789E-6,961.591296561E-3,1.00000000000,100.000000000E-3
1.02420063361E-6,957.209089024E-3,1.00000000000,100.000000000E-3
1.02464904596E-6,951.863634426E-3,1.00000000000,100.000000000E-3
1.02514496197E-6,945.476183220E-3,1.00000000000,100.000000000E-3
